3010365767,"How to search for, locate, read online, and download eBooks from the eBook Academic Collection"
3010365629,"Abstract   This paper aims to present insights about distributed photovoltaic (PV) generation technology diffusion in the household market. A quantitative approach using the Bass model to project distributed PV systems adoption is chosen to base and conduct the analysis. Since distributed PV in Brazil still presents a very small market penetration, historical data is still insufficient to obtain robust estimates. Therefore, parameters from PV markets of other countries and parameters from the solar water heaters (SWH) market in Brazil are used in the analysis. The latter approach is carefully justified. A comparative analysis of distributed PV and SWH market features indicates that SWH diffusion parameters lead to a better representation of innovators behavior for residential PV adoption in Brazil than the parameters borrowed from other countries, which are used by the official projections performed by the Brazilian regulator of the electricity sector. Moreover, we propose a different approach for estimating the final potential market. We discuss the limitations of the official projections, since results indicate that official projections overestimated the diffusion of residential PV market in the early years. Finally, it is suggested that inaccurate signals could be given to stakeholders."
3010365661,"Abstract. FFCam is a variable star near the North celestial pole with hydrogen linesin emission. Its optical variability of ∼0.3 mag was discovered by HIPPARCOS. Thespectral type assigned to the star in SIMBAD is B9, but its position coincides witha ROSAT X–ray source. This suggests the presence of a high-temperature region in thesystem that could originate at or near a companion object. We undertook a spectroscopicmonitoring of FFCam since the beginning of 2012 and found an extremely variable Hαline proﬁle as well as periodically variable radial velocities of numerous absorption lines.The main conclusion from our study is that FFCam is a binary system with an orbitalperiod of 7.785 days, a B–type primary and a K–type secondary component. We discussthe spectral features, their variations, and the nature of FFCam.Key words: emission-line stars - circumstellar matter - binary systems 1. IntroductionFFCam = HD60062 is a fairly bright (V ∼7.5–8.0 mag) star not far fromthe North Celestial Pole (R.A. 7h 47m, Dec. +81"
3010365659,"Penelitian ini dilakukan di Desa Srigading, Kecamatan Sanden, Kabupaten Bantul. Tujuan dari penelitian yaitu untuk menganalisis risiko yang di hadapi petani bawang merah dilahan pasir khususnya di Desa Srigading Sanden Bantul dan sikap petani terhadapat risiko harga. Hipotesis penelitian yang diajukan adalah diduga risiko pendapatan petani bawang merah dilahan pasir yang terjadi di Desa Srigading Sanden Bantul yaitu tergolong besar. Metode penentuan daerah penelitian dilakukan secara  Purposive sampling  sedangkan dalam metode pengambilan sampel menggunakan simple  random sampling  dengan jumlah 30 responden. Metode yang digunakan adalah dengan pengujian hipotesis menggunakan uji t. Hasil penelitian menunjukkan bahwa pendapatan petani bawang merah di Desa Srigading Sanden Bantul yaitu sebesar Rp.73.989.826,92 perhektar. Risiko pendapatan petani bawang merah di lahan pasir yang terjadi Di Desa Srigading Sanden Bantul yaitu sebesar 0,5717 % atau 57,17. Sikap petani terhadap risiko harga yaitu menerima harga ≥13.000 (63,33)  dan  menerima harga <13.000 (36,67 %). Hasil uji t risiko pendapatan petani bawang merah di lahan pasir yang terjadi di Desa Srigading Sanden Bantul menunjukkan bahwa t-hitung sebesar 3.1821 dan t-tabel 1,699 dengan  = 0,05. Risiko pendapatan petani bawang merah di lahan pasir yang terjadi di Desa Srigading Sanden Bantul yiatu besar."
3010365702,"In order to improve the accuracy and reliability of the positioning and navigation system of the intelligent-motion objects in complex environment, and to solve the precision reduction problem of the integrated navigation system caused by the error accumulation of the visual odometry (VO) with motion and the inaccurate modeling of VO noise, an IMU/visual odometry integrated navigation method based on measurement model optimization is proposed. With Kalman filter as the framework, we constructs the state equation by the error recurrence model of strapdown inertial navigation system (SINS), and based on the characteristics of the relative pose output of VO, we consider VO as an angular velocity, line velocity and position sensor to construct the measurement equation. The method has been evaluated by KITTI odometry benchmark and the results indicate that comparing to traditional integration of position and attitudes, the measurement model of this method is more consistent with the noise characteristics of VO and thus can improve the accuracy and reliability of the integrated navigation system."
3010365888,"Related Article: Angus Campbell, Ian Mat Som, Claire Wilson, J. Stephen Clark|2020|Chem.-Eur.J.||1155|doi:10.1002/chem.201904998"
3010365708,"Many network functions executed in modern datacenters, e.g., load balancing, application-level QoS, and congestion control, exhibit three common properties at the data-plane: they need to access an..."
3010365856,"Advection schemes are important in many branches of computational fluid dynamics. They are used for tracer transport in atmospheric models, where the tracer mixing ratios must remain positive. Many advection schemes employ monotonic limiters, however these can reduce the accuracy of the schemes for smooth data. In this article a commonly used monotonic limiter is modified to make it positive definite (but not strictly monotonic). Testing in multiple dimensions shows that there is improved accuracy over the monotonic limiter, while no negative values are produced."
3010365671,"In order to investigate the decision of the airport taxi driver whether to return to carry passengers, we established a fuzzy evaluation decision model based on the analytic hierarchy process, combined with the application analysis of Shanghai Pudong Airport. Based on the selection and quantification of decision indicators, we used the AHP method to calculate the weights to eliminate indicators and optimize the indicator system. Then, a two-level fuzzy evaluation model was established, and the Bayesian discriminant verification model was more reasonable. Finally, based on the data analysis of Shanghai Pudong Airport, combined with 16 different airport decision-making situations, the model was used to obtain the no-load return trips and the membership of waiting passengers. We compared and selected the larger membership value as the decision. Besides, the dependence of the model was analyzed, and it was found that the main dependent factors for decision-making were the number of flight arrivals and the driver’s arrival time. After solving the above, we provide relevant basis for the decision of airport taxi drivers."
3010365725,"A precise modeling and an analysis on an artificial arm have a very significant role in the control action applications. The control activities are useful to identify the system performance and design requirements. The efforts have been made by the researchers to initiate different approaches to direct the best effective model. The state-space analysis has been introduced to analyze different control performances such as controllability, observability and stability testing of the standard artificial arm model after producing the closed loop representation by the simulation approach using Jury stability and Lyapunov stability analysis. The control action analysis shows the relevancy and the precision of the proposed mathematical model."
